Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
002-023,Technical Requirements (RFP Chapter 2),2.9 Communications,2.9.5.3.1.2,24-hour Live Telephone Hotline,"The hotline shall be active no less than 30 Calendar Days prior to construction Work or potential field work and continue to be active through Physical Completion. The Design-Builder shall ensure that all staff members responding to inquiries are trained, friendly, responsive, and informed about Project construction and traffic impacts.",Maintain 24-hour live telephone hotline through Physical Completion,Through,Physical Completion,Through Physical Completion,Operations & Maintenance,Service/Maintenance,Design-Builder,Hotline must remain operational until Physical Completion milestone,,In Progress,,,RB,
002-024,Technical Requirements (RFP Chapter 2),2.9 Communications,2.9.5.3.1.7.1,Public Meetings and Briefings,The Design-Builder shall take a lead role in coordinating and presenting information at public meetings or community briefings through Physical Completion of the Project.,Coordinate and present at public meetings through Physical Completion,Through,Physical Completion,Through Physical Completion,Administrative & Financial,Service/Maintenance,Design-Builder,Ongoing responsibility for public meeting coordination and presentations until Physical Completion milestone,,In Progress,,,RB,
002-025,Technical Requirements (RFP Chapter 2),2.9 Communications,2.9.5.3.1.7.4,Open Houses and Monthly Public Construction Update Meetings,"In addition, the Design-Builder shall take a lead role in coordinating and presenting information at Monthly Public Construction Update meetings to inform the public of the Project's status, design updates, upcoming construction activities, and to answer questions related to the Project. These monthly meetings shall begin prior to the start of construction and continue through Substantial Completion of the Project.",Conduct Monthly Public Construction Update meetings through Substantial Completion,Through,Substantial Completion,Through Substantial Completion,Operations & Maintenance,Service/Maintenance,Design-Builder,Monthly meetings continue until Substantial Completion; Key Personnel must be present,,Complete,"Only required until SC, therefore, it's done now.",,RB,
002-026,Technical Requirements (RFP Chapter 2),2.9 Communications,2.9.5.3.1.8,Photographs and Video,The construction cameras shall be used through Physical Completion of the Project and provide high-resolution (minimum 300 dpi) still photos and time-lapse videos in broadcast quality.,Operate construction cameras through Physical Completion,Through,Physical Completion,Through Physical Completion,Physical Work,Records,Design-Builder,Minimum 4 cameras in active construction locations; photos every 10 minutes; continues through Physical Completion,,Pending,KW - 10/27 9015-GRA-27.11 PRE Work Zone Camera Plan,GRA-OSUB-00088,RB,
002-027,Technical Requirements (RFP Chapter 2),2.9 Communications,2.9.5.3.1.8,Photographs and Video,"The Design-Builder shall provide to WSDOT in an electronic format aerial photographs of the entire Project Limits. Aerial photographs of the SR 520 site shall be oblique images taken in both directions of roadway travel and shall include at least fifty images total each flight. Flights shall be taken before construction Work starts, at quarterly intervals, and at Substantial Completion and Physical Completion. Images shall be submitted to WSDOT within seven Calendar Days of each flight.",Provide aerial photographs at Substantial Completion,At,Substantial Completion,At Substantial Completion,Physical Work,Records,Design-Builder,Part of multi-milestone requirement; see also 002-024 for Physical Completion; oblique images in both directions; minimum 50 images per flight; submit within 7 calendar days,,Due,"KW 10/27 work zone camera plan was subbmitted and accepted, but photos have yet to be submitted.  Photos from between 2019 and 2023 exist in the documents folder at 27.11",,RB,
002-028,Technical Requirements (RFP Chapter 2),2.9 Communications,2.9.5.3.1.8,Photographs and Video,"The Design-Builder shall provide to WSDOT in an electronic format aerial photographs of the entire Project Limits. Aerial photographs of the SR 520 site shall be oblique images taken in both directions of roadway travel and shall include at least fifty images total each flight. Flights shall be taken before construction Work starts, at quarterly intervals, and at Substantial Completion and Physical Completion. Images shall be submitted to WSDOT within seven Calendar Days of each flight.",Provide aerial photographs at Physical Completion,At,Physical Completion,At Physical Completion,Physical Work,Records,Design-Builder,Part of multi-milestone requirement; see also 002-023 for Substantial Completion; oblique images in both directions; minimum 50 images per flight; submit within 7 calendar days,,Pending,"KW 10/27 work zone camera plan was subbmitted and accepted, but photos have yet to be submitted.  Photos from between 2019 and 2023 exist in the documents folder at 27.11",,RB,
002-029,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.5.1.1,CCTV Inspection of King County Wastewater Treatment Division Sewer Lines,"""Following the installation of any structures and associated Work above the 108 inch siphon and 42 inch gravity combined sewer overflow, the Design Builder shall perform a CCTV inspection of the 108-inch siphon and 42-inch gravity combined sewer overflow including the above referenced portion of its downstream 114 inch brick pipeline. All CCTV inspections shall be submitted to WSDOT and the King County Wastewater Treatment Division for Review and Comment. The CCTV inspection shall be completed prior to Substantial Completion.""",Perform CCTV inspection of sewer lines after structure installation,Prior to,Substantial Completion,Prior to Substantial Completion,Testing & Commissioning,Testing Activities,Design-Builder,"Applies to 108-inch siphon, 42-inch gravity combined sewer overflow, and downstream 114-inch brick pipeline; submit to WSDOT and King County Wastewater Treatment Division for Review and Comment",,Pending,03-RESPONSE REVIEW : 09/09/25: KC is requesting any videos available from before construction activities took place so that they may be used to reference in their review of the post-construction videos correlated to this OSUB.,"	OSUB No: GRA-OSUB-00519","RB, JV",
002-030,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.6.4,Meetings with Utility Owners,"""The Design-Builder shall implement a schedule of periodic coordination meetings with each Utility Owner affected by the Work. Such meetings shall commence with the Project design process and shall continue until Physical Completion of the Project (or Completion of the Utility Owner's Relocations, if earlier). Such meetings shall include a preliminary design meeting for the Design-Builder and Utility Owners affected to meet and familiarize themselves with design elements, Utility facilities, and general features of the Project. The Design-Builder shall notify WSDOT at least seven Calendar Days in advance of each meeting, and shall allow WSDOT the opportunity to participate in each meeting.""",Conduct periodic coordination meetings with Utility Owners,Until,Physical Completion,Until Physical Completion,Administrative & Financial,Reports,Design-Builder,Meetings continue from design phase through Physical Completion or completion of utility relocations if earlier; notify WSDOT 7 calendar days in advance; WSDOT may participate,,In Progress,,,"RB, JV",
002-031,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""The Design-Builder shall provide working hard copies and electronic files of documents in the following format: two (2) working hard copies 11X17 (half size) and electronic files in CADD and PDF.""",Provide working drawings and electronic files,Upon,Handover,Upon completion of Utility Work,Closeout/Final Records,Design Documents/Calculations,Design-Builder,Document format requirements for King County Metro Transit,,Not Started,,,"RB, JV",
002-032,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""The Design-Builder shall be responsible for providing the As-Built Plans and all revisions made during construction to King County Metro Transit.""",Provide As-Built Plans to King County Metro Transit,Upon,Handover,Upon completion of Utility Work,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,All revisions during construction included,,Not Started,,,"RB, JV",
002-033,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""Upon acceptance of the King County Metro Transit Work by King County Metro Transit, the Design-Builder shall submit to King County Metro Transit, the following: As-Built Plans in PDF and in electronic CADD format within 12 months of acceptance of Utility Work by King County Metro Transit or Physical Completion, whichever is earlier.""",Submit As-Built Plans within 12 months,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,"Within 12 months of acceptance or Physical Completion, whichever is earlier; PDF and CADD format required",,In Progress,,,"RB, JV",
002-034,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""Upon acceptance of the King County Metro Transit Work by King County Metro Transit, the Design-Builder shall submit to King County Metro Transit, the following: Manuals: All technical and service, instruction, procedure, or other manuals relating to the operation and maintenance of all systems and other mechanical devices and equipment installed in connection with the Utility Work, except as relating to King County Metro Transit's personal property.""",Submit O&M manuals for systems and equipment,Upon,Handover,Upon acceptance of Utility Work,Operations & Maintenance,Manuals,Design-Builder,"All technical, service, instruction, and procedure manuals",,Not Started,,,"RB, JV",
002-035,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""Upon acceptance of the King County Metro Transit Work by King County Metro Transit, the Design-Builder shall submit to King County Metro Transit, the following: Warranties: In accordance with the Contract, as defined in Section 1-05.16 of the General Provisions and any special warranties.""",Submit warranties for Utility Work,Upon,Handover,Upon acceptance of Utility Work,Quality & Compliance,Warranties & Certifications,Design-Builder,Per Section 1-05.16 and special warranties,,Not Started,,,"RB, JV",
002-036,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""Upon acceptance of the King County Metro Transit Work by King County Metro Transit, the Design-Builder shall submit to King County Metro Transit, the following: As-Built Survey: The Design-Builder shall provide King County Metro Transit with land engineering work (such as an as-built survey) with respect to the Utility Work.""",Provide as-built survey,Upon,Handover,Upon acceptance of Utility Work,Closeout/Final Records,Records,Design-Builder,Land engineering work for Utility Work,,Not Started,,,"RB, JV",
002-037,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.1.1.2,All Utilities Owned by King County Metro Transit,"""Upon final acceptance of the Utility Work, the Design-Builder shall coordinate and work with the King County Metro Transit to apply for a new utility permit or modify the existing utility permit to operate and maintain the overhead trolley system.""",Apply for or modify utility permit,Upon,Final Acceptance,Upon final acceptance of Utility Work,Administrative & Financial,Permits/Approvals,Design-Builder,For operation and maintenance of overhead trolley system,,Not Started,,,"RB, JV",
002-038,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.3,Inspection,"""Promptly upon completion of the Utility Work, the Design-Builder shall obtain the Utility Owner's written acceptance of each Utility. The Design-Builder shall submit the original document of each written acceptance to WSDOT.""",Obtain Utility Owner's written acceptance,Upon,Handover,Upon completion of Utility Work,Closeout/Final Records,Affidavits/Legal Documents,Design-Builder,Submit original acceptance document to WSDOT; found via handover keyword: acceptance,,Not Started,,,"RB, JV",
002-039,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2,Utility As-Built Plans,"""Prior to Physical Completion of the Project (or upon completion of the Utility Relocations, if earlier), the Design-Builder shall deliver to WSDOT a complete set of Utility As-Built Plans and design files that incorporate all changes and details of the Relocation Work.""",Deliver complete Utility As-Built Plans,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,All changes and details of Relocation Work; or upon completion of Utility Relocations if earlier,,In Progress,,,"RB, JV",
002-040,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1,Seattle Public Utilities Requirements,"""The Design-Builder shall provide: Mylar copies of the As-Built Plans, signed by the Engineer of Record.""",Provide Mylar copies of As-Built Plans,For,Handover,At project closeout,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Signed by Engineer of Record; for SPU water facilities; found via handover keyword: as-built,,Not Started,,,"RB, JV",
002-041,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1,Seattle Public Utilities Requirements,"""The As-Built Plans shall show pipe alignment and profile, all components and details of the water facilities, locations and elevations of crossing structures and utilities, survey ties to City of Seattle monuments, and identification of the project.""",Provide detailed As-Built Plans content,For,Handover,At project closeout,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,"Must show alignment, profile, components, crossings, survey ties; found via handover keyword: as-built",,Not Started,,,"RB, JV",
002-042,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1,Seattle Public Utilities Requirements,"""The Design-Builder shall provide electronic copies, in pdf format, of working drawings that call out the locations, details and testing of welds; as well as, joints, pipe and casing materials.""",Provide electronic working drawings,For,Handover,At project closeout,Closeout/Final Records,Records,Design-Builder,"PDF format; weld locations/testing, joints, pipe materials; found via handover keyword: as-built",,Not Started,,,"RB, JV",
002-043,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1,Seattle Public Utilities Requirements,"""The Design-Builder shall provide electronic copies of shop submittals, in pdf format, for all materials installed as a portion of the Seattle Public Utilities.""",Provide electronic shop submittals,For,Handover,At project closeout,Closeout/Final Records,Records,Design-Builder,PDF format; all materials installed for SPU,,Not Started,,,"RB, JV",
002-044,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1,Seattle Public Utilities Requirements,"""The Design-Builder shall provide an electronic copy, in pdf format, of design calculations signed by the Engineer of Record for the transmission main, thrust blocking, and pressure reducing valve.""",Provide design calculations,For,Handover,At project closeout,Closeout/Final Records,Design Documents/Calculations,Design-Builder,"PDF format; signed by Engineer of Record; for transmission main, thrust blocking, PRV",,Not Started,,,"RB, JV",
002-045,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1.1,Hard Copy Maintenance Manuals,"""The Design-Builder shall prepare a Water Utility Operation and Maintenance Manual that describes the operation and maintenance procedures for all water utility facilities, including the maintenance requirements for the butterfly valves and pressure reducing valve(s).""",Prepare Water Utility O&M Manual,For,Handover,At project closeout,Operations & Maintenance,Manuals,Design-Builder,Describes operation and maintenance procedures; found via handover keyword: manual,,Not Started,,,"RB, JV",
002-046,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.10.2.1.1,Hard Copy Maintenance Manuals,"""After incorporating WSDOT'S and Utility Owners review comments, the Design-Builder shall provide six bound copies of the Final Water Utility Operation and Maintenance Manual. The Final submittal shall also include an electronic version in pdf format.""",Provide final O&M Manual copies,For,Handover,At project closeout,Operations & Maintenance,Manuals,Design-Builder,Six bound copies plus electronic PDF version; after incorporating review comments; found via handover keyword: manual,,Not Started,,,"RB, JV",
002-047,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.12,Utility and Service Agreements,"""Except as specified otherwise, the Design-Builder shall be responsible for the payments of all new and existing service agreements including temporary and permanent amendments, regardless of ownership, and Utility and service agreements within the Project Limits from NTP until Completion.""",Pay for all utility and service agreements,Until,Completion,Until Completion,Administrative & Financial,Payments/Financial Documents,Design-Builder,All new and existing service agreements including amendments; from NTP until Completion,,Not Started,,,"RB, JV",
002-048,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.12.1,New Service Agreements,"""WSDOT will pay the monthly electric bills for all facilities including the Seattle Department of Transportation, Seattle Department of Parks and Recreation, and King County Metro Transit, starting on the day Work begins, for the new services until Physical Completion.""",Pay monthly electric bills for new services,Until,Physical Completion,Until Physical Completion,Administrative & Financial,Payments/Financial Documents,WSDOT,"For SDOT, Parks, and King County Metro Transit facilities",,In Progress,,,"RB, JV",
002-049,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.12.2,Modify Service Agreements,"""WSDOT will pay the monthly electric bills for all facilities including the Seattle Department of Transportation, Seattle Department of Parks and Recreation and King County Metro Transit, starting on the day Work begins, for the modified services until Physical Completion.""",Pay monthly electric bills for modified services,Until,Physical Completion,Until Physical Completion,Administrative & Financial,Payments/Financial Documents,WSDOT,"For SDOT, Parks, and King County Metro Transit facilities",,In Progress,,,"RB, JV",
002-050,Technical Requirements (RFP Chapter 2),2.10 Utilities and Relocation Agreements,2.10.8.12.3,Existing Service Agreements,"""WSDOT will pay the monthly electric bills for all facilities including the Seattle Department of Transportation, Seattle Department of Parks and Recreation and King County Metro Transit, starting on the day Work begins, for the existing services until Physical Completion.""",Pay monthly electric bills for existing services,Until,Physical Completion,Until Physical Completion,Administrative & Financial,Payments/Financial Documents,WSDOT,"For SDOT, Parks, and King County Metro Transit facilities",,In Progress,,,"RB, JV",
002-051,Technical Requirements (RFP Chapter 2),2.11 Roadway,2.11.4.5,Fencing,The Design-Builder shall install a 6-foot-high wood fence along the property line of WSDOT Parcel 1-23716 as shown in SR 520 I-5 Interchange Vicinity to Montlake Interchange Vicinity (Appendix R2.F) prior to Substantial Completion.,Install 6-foot-high wood fence along WSDOT Parcel 1-23716 property line,Prior to,Substantial Completion,Prior to Substantial Completion,Physical Work,Construction Activities,Design-Builder,Location shown in Appendix R2.F; found via milestone trigger,,Complete,Verified by photo provided by Jon Vannoy,2.11.4.5 Wood Fence at Parcel 1-23716.jpg,JV,
002-052,Technical Requirements (RFP Chapter 2),2.11 Roadway,2.11.5.3.1,Acoustical Screening,"Following initial planting in the Old Canal Reserve and Montlake Lid Bridge, the Design-Builder shall remove the acoustical screen and aesthetic treatment material from the fence, and remove the fence and properly dispose of the material outside the Project Limits.",Remove acoustical screen and fence after initial planting completion,After,Handover,After completion of initial planting,Physical Work,Construction Activities,Design-Builder,Post-construction cleanup requirement; tied to landscape establishment; found via handover keyword: acoustical screen,,Not Started,,,JV,
002-053,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.3.1,Design Documentation Package (DDP) and Project File,"A DDP and a Project File shall be prepared for the Project. The DDP shall include signed and approved cover pages of the Design Approval Package (Appendix O7) and the Project Development Approval, and all applicable components identified in the WSDOT Design Manual (Appendix D3) that are not included in the Design Approval Package and the Project Development Approval. Components that are not included in the Design Approval Package and the Project Development Approval shall be submitted to WSDOT for Review and Comment prior to the final DDP submittal. The DDP submittal shall be in accordance with the DDP Checklist (Appendix O1). The Design-Builder shall submit an updated DDP and Project File with each design submittal. The Project File shall include all applicable components identified in the WSDOT Project File Checklist (Appendix O2). Elements that do not apply to the Project shall be noted on the checklist with clarifying statements explaining why they are not applicable. For additional Project File submittal requirements, refer to the WSDOT Design Manual (Appendix D3). The Design-Builder shall obtain copies of WSDOT-generated information not included in the Request for Proposals (RFP) that the Design-Builder needs in order to complete the DDP and Project File items. The Design-Builder shall submit to WSDOT for review and approval in accordance with the Montlake Project Electronic Documents Policy (July 2020) and Washington State Secretary of State requirements. The DDP and Project File shall be maintained throughout the Project by the Design-Builder and then submitted to WSDOT prior to Physical Completion.",Submit Design Documentation Package (DDP) and Project File,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Project Documentation Package,Design-Builder,DDP includes signed/approved cover pages of Design Approval Package and Project Development Approval plus components from WSDOT Design Manual not in those packages; DDP per Appendix O1 checklist; Project File per Appendix O2 checklist; must be maintained and updated throughout project; found via milestone trigger,,In Progress,,,DH,
002-054,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.3.3,Channelization Plan,"The Final Channelization Plan shall be updated for design changes during construction, and re-submitted to WSDOT for Review and Comment prior to Physical Completion. The final package shall be included within the Project Documentation. The Channelization Plan shall be prepared by, or under the direct supervision of, a Professional Engineer licensed under Title 18 RCW. Each sheet of the Channelization Plan shall carry the Professional Engineer's stamp and signature. The Channelization Plan shall be submitted using the WSDOT standard format and shall follow the WSDOT Northwest Region Channelization Plan for Approval Checklist (Appendix O10).",Submit updated Final Channelization Plan reflecting construction design changes,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Design Documents/Calculations,Design-Builder,Must be updated for all design changes during construction; requires PE stamp and signature on each sheet; follows WSDOT standard format and Appendix O10 checklist; preliminary submittal is 2 hard copies half-size plus PDF; final submittal is 1 full-size plot and 2 half-size sets on bond Mylar paper; found via milestone trigger,,In Progress,,,DH,
002-055,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.3.8,Project Development Approval,Revisions to elements documented in the Design Approval Package (Appendix O7) shall be noted and updated in the Project Development Approval. The Project Development Approval shall follow the requirements as specified in the WSDOT Design Manual (Appendix D3). The Design-Builder shall submit a draft of the Project Development Approval to WSDOT for Review and Comment. WSDOT will Review and Comment within 30 Calendar Days. All comments shall be resolved before the Project Development Approval is finalized and submitted to WSDOT prior to Physical Completion.,Submit finalized Project Development Approval with all comments resolved,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Design Documents/Calculations,Design-Builder,Documents revisions to Design Approval Package elements; follows WSDOT Design Manual requirements; draft submitted for Review and Comment first; WSDOT reviews within 30 calendar days; all comments must be resolved before finalization; found via milestone trigger,,In Progress,,,DH,
002-056,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.3.9,Final Design Documents,"Prior to Physical Completion all design documents prepared in the performance of the Contract shall be collected and submitted. The Final Design Documents shall include, but are not limited to, the following: DDP, Project File, and Technical Memoranda; Project Development Approval; Updated electronic MicroStation and InRoads files in accordance with the WSDOT Electronic Engineering Data Standards (Appendix D18), including all Released for Construction sheets, reference files, and base mapping (topography, including survey updates). The Final Design Documents shall reflect the actual condition of the constructed Work, to the same degree of detail as the Released for Construction Documents. The Final Design Documents shall include all changes and corrections to the documents that depict the final completed component, with relevant data shown (including copies of calculations not previously submitted with Working Drawings or with the Final Design Submittal).",Collect and submit all Final Design Documents,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Design Documents/Calculations,Design-Builder,"Includes DDP, Project File, Technical Memoranda, Project Development Approval, and updated electronic files per Appendix D18; must reflect actual constructed conditions to same detail level as Released for Construction Documents; includes all changes, corrections, and calculations; found via milestone trigger",,In Progress,,,DH,
002-057,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.3.9,Final Design Documents,"WSDOT will Review and Comment on the submittal. The Design-Builder shall address all comments in a manner consistent with the comment resolution process outlined in the Design-Builder's Quality Management Plan, and then resubmit the Final Design Documents to WSDOT prior to Physical Completion.",Address WSDOT comments and resubmit Final Design Documents,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Design Documents/Calculations,Design-Builder,Follows after initial Final Design Documents submission; requires addressing all WSDOT Review and Comment feedback per QMP comment resolution process; resubmittal required before Physical Completion; found via milestone trigger,,In Progress,,,DH,
002-058,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.4.1,As-Built Plans Amendments to the Standard Specifications Special Provisions and Technical Specifications,"Prior to Physical Completion of the Project, the Design-Builder shall update and re-release all plans with changes made during construction in accordance with Section 2.28. The electronic MicroStation and InRoads files shall be updated with all revisions to show the as-constructed conditions, incorporating all revisions made during construction. The Design-Builder shall make all electronic MicroStation and InRoads files consistent with the software and drawing conformance requirements of the Technical Requirements, and shall submit an electronic copy of the As-Built Plans in accordance with the WSDOT Construction Manual (Appendix D2) and one complete electronic copy of the updated MicroStation and InRoads files on flash drives. The Design-Builder shall also provide As-Built Plans for City of Seattle Facilities and City of Seattle Interests in accordance with the City of Seattle CAD Manual Inter-Department CAD Standard (Appendix D49). All revisions of the Released for Construction Document Submittal shall be performed by, or under the direct supervision of, the Engineer of Record (EOR) for the documents. Each re-issued sheet of the revised Released for Construction plans and the cover of each of the re-issued revised Released for Construction Technical Specifications shall include the Professional Engineer's stamp and signature. WSDOT shall be notified of design revisions made during construction. Plans, calculations, and other supporting documents shall be submitted to WSDOT for Review and Comment prior to implementation of the revisions during construction. Calculations for design revisions made during construction shall be incorporated into the design calculation file when construction is completed in accordance with Section 2.28. The As-Built Plans shall reflect the same degree of detail as the Released for Construction Document Submittal in accordance with Section 2.28. Underground features, including but not limited to, buried or abandoned structures, shall be documented on the As-Built Plans showing the location and elevation. The Design-Builder shall also provide reproducible originals of all Working Drawings. The Design-Builder shall submit As-Built Plans in accordance with the requirements of the WSDOT Construction Manual (Appendix D2). As-Built Plans shall be submitted as a complete package in sequence, including all Released for Construction sheets, in accordance with the numbering and naming conventions as defined in the WSDOT Plans Preparation Manual (Appendix D12). Maintenance of Traffic (MOT) and Temporary Erosion and Sediment Control (TESC) Plans are exempt from the as-built requirements.",Submit As-Built Plans with all construction changes and updated electronic files,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,"Must update all plans with construction changes per Section 2.28; electronic MicroStation and InRoads files on flash drives; separate As-Built Plans for City of Seattle per Appendix D49; requires EOR supervision and PE stamp/signature; must show underground features with location and elevation; submitted per WSDOT Construction Manual Appendix D2 and Plans Preparation Manual Appendix D12; MOT and TESC Plans exempt; found via milestone trigger and handover keyword: as-built; Modified by CO 184 (03/10/25): As-Built Plans shall include notation that Special Reinforced Pavement (SRP) over Combined Sewer Overflow (CSO) near Montlake Lid Bridge was not constructed; As-Built Plans shall show as-built condition of roadway, pavement markings, barriers, and associated work over and adjacent to CSO from SR 520 MP 0.84 to approximately ML Station 64+11; Modified by CO 185 (05/06/25): As-Built Drawings shall note specific locations where installed conduit exceeds 320' for emergency phones and alternate LSZH cabling (GameChanger) is used; locations where installed conduit exceeds 300' for camera cables and approved alternate cabling or repeater systems are employed shall be noted on Project Plans",,In Progress,,,DH,
002-059,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.4.1,"As-Built Plans, Amendments to the Standard Specifications, Special Provisions, and Technical Specifications","WSDOT will Review and Comment on the submittal and will provide comments detailing issues to be resolved. The Design-Builder shall address all comments in a manner consistent with the comment resolution process outlined in the Design-Builder's Quality Management Plan, and then resubmit the Final Design Documents to WSDOT. Resolution of all WSDOT's comments shall be required prior to Completion.",Address all WSDOT comments on As-Built Plans and resubmit,Prior to,Completion,Prior to Completion,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Follows QMP comment resolution process; all comments must be resolved before Completion; found via milestone trigger,,Not Started,,,DH,
002-060,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.4.2,Final Records,The Design-Builder shall submit final records prior to Completion. The Design-Builder shall prepare and submit documentation for Final Records in accordance with the WSDOT Construction Manual (Appendix D2) and the WSDOT Design Manual (Appendix D3).,Submit Final Records documentation,Prior to,Completion,Prior to Completion,Closeout/Final Records,Final Record Books,Design-Builder,Includes both Permanent Final Records and Temporary Final Records; prepared per WSDOT Construction Manual Appendix D2 and Design Manual Appendix D3; see separate requirements for specific record books; found via milestone trigger and handover keyword: final records,,Not Started,,,DH,
002-061,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.4.2.1,Permanent Final Records,"All final record books prepared for Permanent Final Records shall be numbered as outlined below: Final Record (Book No. 1). The Design-Builder Personnel List (Section 2) â Containing the name and classification of managers, supervisors, foremen, testers, engineers, and any other Design-Builder personnel who were responsible for signing documents or forms or were responsible for decision-making on the Project. Each person shall sign his or her identifying initials after his or her name on this list in the same manner as it appears in other Project documents. Final Estimate Sheets (Section 4) â Will be prepared by WSDOT and provided to the Design-Builder for review and signature. Affidavit of Wages Paid (Section 6) â The original or copy of the approved affidavits. Record of Construction Materials (Section 8) â A tabulation showing the source of all construction materials. See Section 2.25 Control of Materials for additional information.","Submit Final Record Book No. 1 with personnel list, estimate sheets, wage affidavits, and materials record",Prior to,Completion,Prior to Completion,Closeout/Final Records,Final Record Books,Design-Builder,"Part of Permanent Final Records; contains 4 sections: (2) Design-Builder Personnel List with signed initials, (4) Final Estimate Sheets from WSDOT for DB review/signature, (6) Affidavit of Wages Paid originals/copies, (8) Record of Construction Materials tabulation per Section 2.25; part of multi-item submittal - see also Book Nos. 2-8; found via handover keyword: final records",,Not Started,,,DH,
002-062,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.4.2.1,Permanent Final Records,All final record books prepared for Permanent Final Records shall be numbered as outlined below: Project Engineer's Diaries (Book No. 2).,Submit Project Engineer's Diaries as Book No. 2,Prior to,Completion,Prior to Completion,Physical Work,Final Record Books,Design-Builder,"Part of Permanent Final Records; part of multi-item submittal - see also Book Nos. 1, 3-8; found via handover keyword: final records",,Not Started,,,DH,
002-063,Technical Requirements (RFP Chapter 2),2.12 Project Documentation,2.12.4.2.1,Permanent Final Records,All final record books prepared for Permanent Final Records shall be numbered as outlined below: Inspector's Daily Reports (Book No. 3).,Submit Inspector's Daily Reports as Book No. 3,Prior to,Completion,Prior to Completion,Closeout/Final Records,Final Record Books,Design-Builder,"Part of Permanent Final Records; part of multi-item submittal - see also Book Nos. 1-2, 4-8; found via handover keyword: final records",,Not Started,,,DH,
