Doc_Number,Document_Name,Contract_Section,Category,Review_Status,Notes,Filename,Appendix_Number,Priority,Document_Type,File_Type,Size_MB,Modified_Date,Full_Path
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D42.pdf,D42,HIGH,Manuals & Procedures,.PDF,1.26,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D42/Appendix D42.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D43.pdf,D43,HIGH,Manuals & Procedures,.PDF,9.79,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D43/Appendix D43.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D44.pdf,D44,HIGH,Manuals & Procedures,.PDF,10.43,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D44/Appendix D44.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D46.pdf,D46,HIGH,Manuals & Procedures,.PDF,5.9,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D46/Appendix D46.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D47.pdf,D47,HIGH,Manuals & Procedures,.PDF,1.12,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D47/Appendix D47.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.A.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.31,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.A/Appendix D48.A.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.B.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.B/Appendix D48.B.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.C.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.C/Appendix D48.C.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.D.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.D/Appendix D48.D.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.E.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.19,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.E/Appendix D48.E.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.F.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.09,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.F/Appendix D48.F.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D48.G.pdf,D48,HIGH,Manuals & Procedures,.PDF,0.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D48/Appendix D48.G/Appendix D48.G.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D49.pdf,D49,HIGH,Manuals & Procedures,.PDF,6.1,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D49/Appendix D49.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D6.pdf,D6,HIGH,Manuals & Procedures,.PDF,13.22,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D6/Appendix D6.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D7.pdf,D7,HIGH,Manuals & Procedures,.PDF,16.68,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D7/Appendix D7.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D8.pdf,D8,HIGH,Manuals & Procedures,.PDF,21.54,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D8/Appendix D8.pdf
136,AASHTO LRFD 8th Edition 2017,7. RFP Appendices (Contract Documents),7 - Appendices: D - Manuals,Needs Review,,Appendix D9.pdf,D9,HIGH,Manuals & Procedures,.PDF,6.74,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/D - Manuals/Appendix D9/Appendix D9.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.A.pdf,E1,HIGH,Permits & Environmental,.PDF,4.88,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.A/Appendix E1.A.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.AA.pdf,E1,HIGH,Permits & Environmental,.PDF,4.07,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.AA/Appendix E1.AA.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.BB.pdf,E1,HIGH,Permits & Environmental,.PDF,5.78,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.BB/Appendix E1.BB.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.C.1.pdf,E1,HIGH,Permits & Environmental,.PDF,0.12,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.C/Appendix E1.C.1/Appendix E1.C.1.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.C.2.pdf,E1,HIGH,Permits & Environmental,.PDF,1.07,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.C/Appendix E1.C.2/Appendix E1.C.2.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.CC.pdf,E1,HIGH,Permits & Environmental,.PDF,2.47,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.CC/Appendix E1.CC.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.DD.pdf,E1,HIGH,Permits & Environmental,.PDF,1.62,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.DD/Appendix E1.DD.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.E.pdf,E1,HIGH,Permits & Environmental,.PDF,2.48,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.E/Appendix E1.E.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.FF.pdf,E1,HIGH,Permits & Environmental,.PDF,2.53,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.FF/Appendix E1.FF.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.G.pdf,E1,HIGH,Permits & Environmental,.PDF,1.63,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.G/Appendix E1.G.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.GG.pdf,E1,HIGH,Permits & Environmental,.PDF,10.6,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.GG/Appendix E1.GG.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.H.pdf,E1,HIGH,Permits & Environmental,.PDF,5.57,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.H/Appendix E1.H.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.HH.pdf,E1,HIGH,Permits & Environmental,.PDF,3.16,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.HH/Appendix E1.HH.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.II.pdf,E1,HIGH,Permits & Environmental,.PDF,2.61,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.II/Appendix E1.II.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.J.pdf,E1,HIGH,Permits & Environmental,.PDF,3.42,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.J/Appendix E1.J.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.JJ.pdf,E1,HIGH,Permits & Environmental,.PDF,1.91,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.JJ/Appendix E1.JJ.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.K.pdf,E1,HIGH,Permits & Environmental,.PDF,6.53,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.K/Appendix E1.K.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.KK.pdf,E1,HIGH,Permits & Environmental,.PDF,1.29,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.KK/Appendix E1.KK.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.L.pdf,E1,HIGH,Permits & Environmental,.PDF,4.84,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.L/Appendix E1.L.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.LL.pdf,E1,HIGH,Permits & Environmental,.PDF,2.14,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.LL/Appendix E1.LL.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.M.pdf,E1,HIGH,Permits & Environmental,.PDF,3.87,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.M/Appendix E1.M.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.MM.pdf,E1,HIGH,Permits & Environmental,.PDF,3.02,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.MM/Appendix E1.MM.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.N.pdf,E1,HIGH,Permits & Environmental,.PDF,4.04,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.N/Appendix E1.N.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.NN.pdf,E1,HIGH,Permits & Environmental,.PDF,1.07,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.NN/Appendix E1.NN.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.O.pdf,E1,HIGH,Permits & Environmental,.PDF,3.0,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.O/Appendix E1.O.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.OO.pdf,E1,HIGH,Permits & Environmental,.PDF,0.84,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.OO/Appendix E1.OO.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.P.pdf,E1,HIGH,Permits & Environmental,.PDF,1.96,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.P/Appendix E1.P.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.Q.pdf,E1,HIGH,Permits & Environmental,.PDF,1.34,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.Q/Appendix E1.Q.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.R.pdf,E1,HIGH,Permits & Environmental,.PDF,3.58,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.R/Appendix E1.R.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.S.pdf,E1,HIGH,Permits & Environmental,.PDF,1.9,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.S/Appendix E1.S.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.T.pdf,E1,HIGH,Permits & Environmental,.PDF,2.08,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.T/Appendix E1.T.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.U.pdf,E1,HIGH,Permits & Environmental,.PDF,2.37,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.U/Appendix E1.U.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.V.pdf,E1,HIGH,Permits & Environmental,.PDF,6.7,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.V/Appendix E1.V.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.W.pdf,E1,HIGH,Permits & Environmental,.PDF,1.89,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.W/Appendix E1.W.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.X.pdf,E1,HIGH,Permits & Environmental,.PDF,0.94,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.X/Appendix E1.X.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.Y.pdf,E1,HIGH,Permits & Environmental,.PDF,2.29,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.Y/Appendix E1.Y.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E1.Z.pdf,E1,HIGH,Permits & Environmental,.PDF,4.17,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E1/Appendix E1.Z/Appendix E1.Z.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E10.pdf,E10,HIGH,Permits & Environmental,.PDF,0.81,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E10/Appendix E10.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E11.pdf,E11,HIGH,Permits & Environmental,.PDF,4.85,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E11/Appendix E11.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E12.pdf,E12,HIGH,Permits & Environmental,.PDF,5.22,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E12/Appendix E12.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E14.pdf,E14,HIGH,Permits & Environmental,.PDF,0.36,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E14/Appendix E14.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E15.pdf,E15,HIGH,Permits & Environmental,.PDF,0.01,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E15/Appendix E15.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E18.pdf,E18,HIGH,Permits & Environmental,.PDF,0.16,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E18/Appendix E18.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E19.pdf,E19,HIGH,Permits & Environmental,.PDF,1.13,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E19/Appendix E19.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E2.pdf,E2,HIGH,Permits & Environmental,.PDF,5.88,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E2/Appendix E2.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E20.pdf,E20,HIGH,Permits & Environmental,.PDF,6.58,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E20/Appendix E20.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E21.pdf,E21,HIGH,Permits & Environmental,.PDF,5.47,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E21/Appendix E21.pdf
195,Administrative Order,7. RFP Appendices (Contract Documents),7 - Appendices: E - Environmental,Needs Review,,Appendix E22.pdf,E22,HIGH,Permits & Environmental,.PDF,1.88,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/E - Environmental/Appendix E22/Appendix E22.pdf
