Doc_Number,Priority,Review_Status,Document_Type,Category,Appendix_Number,Filename,Subfolder,File_Type,Size_MB,Modified_Date,Closeout_Requirements_Found,Notes,Follow_Up_Required,Reviewer,Review_Date,Full_Path
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2.A.5 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.5,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.5/A-B2.A.5 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2.A.7 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.7,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.7/A-B2.A.7 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2.A.8 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.8,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.8/A-B2.A.8 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2.A.9 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.9,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.9/A-B2.A.9 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2A.10 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.10,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.10/A-B2A.10 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2A.11 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.11,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.11/A-B2A.11 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2A.19 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.19,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.19/A-B2A.19 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2A.20 Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.20,.PDF,0.15,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.20/A-B2A.20 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B2A.6 Cover_Sheet.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6/A-B2A.6 Cover_Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B3 Cover Sheet.pdf,Appendix A-B3,.PDF,0.11,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B3/A-B3 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B3.A Cover Sheet.pdf,Appendix A-B3/Appendix A-B3.A,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B3/Appendix A-B3.A/A-B3.A Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B3.B Cover Sheet.pdf,Appendix A-B3/Appendix A-B3.B,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B3/Appendix A-B3.B/A-B3.B Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B4 Cover Sheet.pdf,Appendix A-B4,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B4/A-B4 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B5 Cover Sheet.pdf,Appendix A-B5,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B5/A-B5 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B6 Cover Sheet.pdf,Appendix A-B6,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B6/A-B6 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B7 Cover Sheet.pdf,Appendix A-B7,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B7/A-B7 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B8 Cover Sheet.pdf,Appendix A-B8,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B8/A-B8 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B9 Cover Sheet.pdf,Appendix A-B9,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/A-B9 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B9.A Cover Sheet.pdf,Appendix A-B9/Appendix A-B9.A,.PDF,0.16,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.A/A-B9.A Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,A-B9.C Cover Sheet.pdf,Appendix A-B9/Appendix A-B9.C,.PDF,0.2,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.C/A-B9.C Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B Cover Sheet.pdf,,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B1.D Cover Sheet.pdf,Appendix A-B1/Appendix A-B1.D,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.D/Appendix A-B1.D Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B1.F.1.pdf,Appendix A-B1/Appendix A-B1.F/Appendix A-B1.F.1,.PDF,0.41,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.F/Appendix A-B1.F.1/Appendix A-B1.F.1.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B1.F.2.pdf,Appendix A-B1/Appendix A-B1.F/Appendix A-B1.F.2,.PDF,1.42,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.F/Appendix A-B1.F.2/Appendix A-B1.F.2.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B10.pdf,Appendix A-B10,.PDF,18.79,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B10/Appendix A-B10.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2 Cover Sheet.pdf,Appendix A-B2,.PDF,0.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2 Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A Cover Sheet.pdf,Appendix A-B2/Appendix A-B2.A,.PDF,0.12,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A Cover Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.10.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.10,.PDF,18.28,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.10/Appendix A-B2.A.10.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.11.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.11,.PDF,30.37,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.11/Appendix A-B2.A.11.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.13.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.13,.PDF,31.57,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.13/Appendix A-B2.A.13.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.21.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.21,.PDF,6.73,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.21/Appendix A-B2.A.21.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.22.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.22,.PDF,30.07,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.22/Appendix A-B2.A.22.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.25.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.25,.PDF,24.13,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.25/Appendix A-B2.A.25.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.26.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.26,.PDF,6.88,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.26/Appendix A-B2.A.26.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.3.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.3,.PDF,13.98,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.3/Appendix A-B2.A.3.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.5.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.5,.PDF,46.53,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.5/Appendix A-B2.A.5.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.6.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6,.PDF,16.51,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6/Appendix A-B2.A.6.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.7.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.7,.PDF,29.73,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.7/Appendix A-B2.A.7.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B2.A.8.pdf,Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.8,.PDF,12.61,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.8/Appendix A-B2.A.8.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B3.A.pdf,Appendix A-B3/Appendix A-B3.A,.PDF,1.49,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B3/Appendix A-B3.A/Appendix A-B3.A.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B4.pdf,Appendix A-B4,.PDF,10.08,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B4/Appendix A-B4.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B5.pdf,Appendix A-B5,.PDF,26.34,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B5/Appendix A-B5.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B6.pdf,Appendix A-B6,.PDF,16.92,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B6/Appendix A-B6.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B7.pdf,Appendix A-B7,.PDF,131.31,2020-06-24,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B7/Appendix A-B7.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B8.pdf,Appendix A-B8,.PDF,15.89,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B8/Appendix A-B8.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.A.pdf,Appendix A-B9/Appendix A-B9.A,.PDF,2.36,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.A/Appendix A-B9.A.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.B.pdf,Appendix A-B9/Appendix A-B9.B,.PDF,0.92,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.B/Appendix A-B9.B.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.C.pdf,Appendix A-B9/Appendix A-B9.C,.PDF,1.68,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.C/Appendix A-B9.C.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.D.pdf,Appendix A-B9/Appendix A-B9.D,.PDF,0.43,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.D/Appendix A-B9.D.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.E.pdf,Appendix A-B9/Appendix A-B9.E,.PDF,19.2,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.E/Appendix A-B9.E.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.I.pdf,Appendix A-B9/Appendix A-B9.I,.PDF,9.67,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.I/Appendix A-B9.I.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix A-B9.J.pdf,Appendix A-B9/Appendix A-B9.J,.PDF,11.11,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.J/Appendix A-B9.J.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix_A-B1.E_Cover_Sheet.pdf,Appendix A-B1/Appendix A-B1.E,.PDF,0.29,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.E/Appendix_A-B1.E_Cover_Sheet.pdf
56,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,Appendix_A-B9.H Cover Sheet.pdf,Appendix A-B9/Appendix A-B9.H,.PDF,0.25,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B9/Appendix A-B9.H/Appendix_A-B9.H Cover Sheet.pdf
113,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,WABN Disc Bearings.pdf,Appendix A-B1/Appendix A-B1.B,.PDF,1.46,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.B/WABN Disc Bearings.pdf
114,HIGH,Not Started,As-Built/Record Drawings,7 - Appendices: A-B - As-Built Plans and Construction,A,WABN Isolation Bearings.pdf,Appendix A-B1/Appendix A-B1.C,.PDF,5.3,2019-10-28,,,,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.C/WABN Isolation Bearings.pdf
